ticket_id,customer_tier,raw_text,actual_category,detected_category,sentiment_score,priority
REQ-5247,SMB,This is the third billing error this quarter. I am escalating to my board.,PR Risk,PR Risk,1,CRITICAL
REQ-5248,SMB,I think I found a security vulnerability in your login portal.,Technical Bug,Technical Bug,3,Medium
REQ-5249,SMB,Refunding this now or I am taking this to social media. Charged twice!,PR Risk,PR Risk,1,CRITICAL
REQ-5250,SMB,Can I schedule automated reports to be sent to my team every Monday?,Product Question,Product Question,3,Normal
REQ-5251,Enterprise,This is the third billing error this quarter. I am escalating to my board. This is blocking our team.,PR Risk,PR Risk,1,CRITICAL
REQ-5252,Mid-Market,Can I schedule automated reports to be sent to my team every Monday? This is urgent.,Product Question,Product Question,3,Normal
REQ-5253,SMB,Can you walk us through the Enterprise security and compliance features?,Sales,Sales,3,High
REQ-5254,SMB,This is the third billing error this quarter. I am escalating to my board. ASAP please.,PR Risk,PR Risk,1,CRITICAL
REQ-5255,SMB,Just wanted to say the support team is doing a phenomenal job. This is blocking our team.,Praise,Praise,5,Normal
REQ-5256,Mid-Market,The search function returns incorrect results for any query with special characters. This is urgent.,Technical Bug,Technical Bug,3,Medium
REQ-5257,Mid-Market,We have a budget approval for an annual contract. What are the next steps?,Sales,Sales,3,High
REQ-5258,Mid-Market,Fastest support response I have ever received from any SaaS vendor. We need this resolved today.,Praise,Praise,5,Normal
REQ-5259,Enterprise,We want to add 50 more seats to our current plan. Who should I talk to?,Sales,Sales,3,High
REQ-5260,Enterprise,Three of our team members have stopped using the platform entirely.,Churn Risk,Churn Risk,2,High
REQ-5261,Mid-Market,Three of our team members have stopped using the platform entirely.,Churn Risk,Churn Risk,2,High
REQ-5262,Enterprise,Fastest support response I have ever received from any SaaS vendor. This is urgent.,Praise,Praise,5,Normal
REQ-5263,SMB,Data is not syncing between the mobile app and the web dashboard. We need this resolved today.,Technical Bug,PR Risk,1,CRITICAL
REQ-5264,SMB,I will be filing a formal complaint with the regulator if this is not addressed. ASAP please.,PR Risk,PR Risk,1,CRITICAL
REQ-5265,SMB,Two-factor authentication is failing for three members of my team. This is urgent.,Access Issue,Technical Bug,3,Medium
REQ-5266,Mid-Market,We have a budget approval for an annual contract. What are the next steps?,Sales,Sales,3,High
REQ-5267,SMB,Can I schedule automated reports to be sent to my team every Monday? This is blocking our team.,Product Question,Product Question,3,Normal
REQ-5268,Mid-Market,Our contract is up in 60 days and we are not sure we will renew. This is blocking our team.,Churn Risk,PR Risk,1,CRITICAL
REQ-5269,Mid-Market,Does the platform support SAML-based SSO with Okta? This is urgent.,Product Question,Technical Bug,3,Medium
REQ-5270,Mid-Market,Looking at competitors because your uptime has been terrible lately.,Churn Risk,Churn Risk,2,High
REQ-5271,SMB,SSO login is broken for our entire organization since the last update. Our entire team is affected.,Technical Bug,Technical Bug,2,High
REQ-5272,Enterprise,Webhook events stopped firing three hours ago. Our automation is down. ASAP please.,Technical Bug,Technical Bug,2,High
REQ-5273,SMB,The app crashed again while I was mid-presentation. Infuriating. This is urgent.,Technical Bug,Technical Bug,2,High
REQ-5274,Mid-Market,Three of our team members have stopped using the platform entirely.,Churn Risk,Churn Risk,2,High
REQ-5275,SMB,Just wanted to say the support team is doing a phenomenal job. This is blocking our team.,Praise,Praise,5,Normal
REQ-5276,Mid-Market,Does the platform support SAML-based SSO with Okta? This is blocking our team.,Product Question,Technical Bug,3,Medium
REQ-5277,Mid-Market,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk,Churn Risk,2,High
REQ-5278,Mid-Market,Is it possible to set up custom roles and permissions for our team? This is urgent.,Product Question,Product Question,3,Normal
REQ-5279,Mid-Market,How do I export my data to a CSV? I cannot find the button. This is our third time contacting support about this.,Product Question,Product Question,3,Normal
REQ-5280,SMB,Our legal team is reviewing our contract due to this ongoing service outage. This is urgent.,PR Risk,PR Risk,1,CRITICAL
REQ-5281,Enterprise,Just wanted to say the support team is doing a phenomenal job.,Praise,Praise,5,Normal
REQ-5282,SMB,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk,Churn Risk,2,High
REQ-5283,Mid-Market,"The export function silently fails -- no error message, no file.",Technical Bug,Technical Bug,3,Medium
REQ-5284,SMB,Is it possible to set up custom roles and permissions for our team? This is blocking our team.,Product Question,Product Question,3,Normal
REQ-5285,Mid-Market,The new dashboard update is exactly what we asked for. Thank you. Our entire team is affected.,Praise,Praise,5,Normal
REQ-5286,Mid-Market,What is the maximum file size for document uploads? This is urgent.,Product Question,Product Question,3,Normal
REQ-5287,SMB,We have a budget approval for an annual contract. What are the next steps? This is our third time contacting support about this.,Sales,Sales,3,High
REQ-5288,SMB,We have documented every outage and are preparing a case against your SLA. ASAP please.,PR Risk,General,3,Normal
REQ-5289,Mid-Market,What is the maximum file size for document uploads? This is blocking our team.,Product Question,Product Question,3,Normal
REQ-5290,SMB,Can you walk us through the Enterprise security and compliance features?,Sales,Sales,3,High
REQ-5291,SMB,I will be filing a formal complaint with the regulator if this is not addressed. This is our third time contacting support about this.,PR Risk,PR Risk,1,CRITICAL
REQ-5292,Enterprise,My CEO is cc'd on this email. We need an executive response today. Our entire team is affected.,PR Risk,PR Risk,1,CRITICAL
REQ-5293,Mid-Market,Refunding this now or I am taking this to social media. Charged twice!,PR Risk,PR Risk,1,CRITICAL
REQ-5294,Mid-Market,This is the third billing error this quarter. I am escalating to my board. We need this resolved today.,PR Risk,PR Risk,1,CRITICAL
REQ-5295,Mid-Market,Fastest support response I have ever received from any SaaS vendor.,Praise,Praise,5,Normal
REQ-5296,SMB,This is the third billing error this quarter. I am escalating to my board. We need this resolved today.,PR Risk,PR Risk,1,CRITICAL
REQ-5297,SMB,I think I found a security vulnerability in your login portal. This is blocking our team.,Technical Bug,Technical Bug,3,Medium
REQ-5298,SMB,What is the maximum file size for document uploads? This is urgent.,Product Question,Product Question,3,Normal
REQ-5299,Mid-Market,Your onboarding specialist went above and beyond for our team. We need this resolved today.,Praise,Praise,5,Normal
REQ-5300,SMB,Three of our team members have stopped using the platform entirely.,Churn Risk,Churn Risk,2,High
REQ-5301,SMB,We have a budget approval for an annual contract. What are the next steps? This is urgent.,Sales,Sales,3,High
REQ-5302,Enterprise,My CEO is cc'd on this email. We need an executive response today.,PR Risk,PR Risk,1,CRITICAL
REQ-5303,Enterprise,The app crashed again while I was mid-presentation. Infuriating.,Technical Bug,Technical Bug,2,High
REQ-5304,Mid-Market,Our contract is up in 60 days and we are not sure we will renew.,Churn Risk,PR Risk,1,CRITICAL
REQ-5305,Enterprise,We have a budget approval for an annual contract. What are the next steps?,Sales,Sales,3,High
REQ-5306,Mid-Market,The search function returns incorrect results for any query with special characters.,Technical Bug,Technical Bug,3,Medium
REQ-5307,Enterprise,We want to add 50 more seats to our current plan. Who should I talk to? We need this resolved today.,Sales,Sales,3,High
REQ-5308,Enterprise,The password reset link expired before I could use it. Please resend. ASAP please.,Access Issue,Access Issue,2,Medium
REQ-5309,SMB,We are evaluating other vendors. Your pricing has become hard to justify. Our entire team is affected.,Churn Risk,Churn Risk,2,High
REQ-5310,Mid-Market,The password reset link expired before I could use it. Please resend. This is blocking our team.,Access Issue,Access Issue,2,Medium
REQ-5311,Enterprise,Our contract is up in 60 days and we are not sure we will renew. This is blocking our team.,Churn Risk,PR Risk,1,CRITICAL
REQ-5312,Enterprise,The new dashboard update is exactly what we asked for. Thank you.,Praise,Praise,5,Normal
REQ-5313,Mid-Market,Is it possible to set up custom roles and permissions for our team?,Product Question,Product Question,3,Normal
REQ-5314,Mid-Market,Executive sponsor has left the company and the new one is re-evaluating all tools.,Churn Risk,Churn Risk,2,High
REQ-5315,Enterprise,We want to add 50 more seats to our current plan. Who should I talk to?,Sales,Sales,3,High
REQ-5316,Mid-Market,SSO login is broken for our entire organization since the last update. We need this resolved today.,Technical Bug,Technical Bug,2,High
REQ-5317,SMB,Webhook events stopped firing three hours ago. Our automation is down. Our entire team is affected.,Technical Bug,Technical Bug,2,High
REQ-5318,SMB,Can I schedule automated reports to be sent to my team every Monday? Our entire team is affected.,Product Question,Product Question,3,Normal
REQ-5319,Enterprise,The app crashed again while I was mid-presentation. Infuriating.,Technical Bug,Technical Bug,2,High
REQ-5320,Enterprise,I think I found a security vulnerability in your login portal.,Technical Bug,Technical Bug,3,Medium
REQ-5321,Enterprise,Executive sponsor has left the company and the new one is re-evaluating all tools. This is urgent.,Churn Risk,Churn Risk,2,High
REQ-5322,Mid-Market,Is it possible to set up custom roles and permissions for our team? This is urgent.,Product Question,Product Question,3,Normal
REQ-5323,Mid-Market,Does the platform support SAML-based SSO with Okta?,Product Question,Technical Bug,3,Medium
REQ-5324,SMB,We have a budget approval for an annual contract. What are the next steps? ASAP please.,Sales,Sales,3,High
REQ-5325,Mid-Market,Looking at competitors because your uptime has been terrible lately. This is our third time contacting support about this.,Churn Risk,Churn Risk,2,High
REQ-5326,Enterprise,Can you walk us through the Enterprise security and compliance features? This is urgent.,Sales,Sales,3,High
REQ-5327,Enterprise,New team member has not received the invitation email after 24 hours. Our entire team is affected.,Access Issue,Access Issue,2,Medium
REQ-5328,SMB,What is the maximum file size for document uploads?,Product Question,Product Question,3,Normal
REQ-5329,Mid-Market,Your service caused us to miss a client deadline. We are seeking damages. We need this resolved today.,PR Risk,PR Risk,1,CRITICAL
REQ-5330,Mid-Market,Our contract is up in 60 days and we are not sure we will renew. We need this resolved today.,Churn Risk,PR Risk,1,CRITICAL
REQ-5331,Mid-Market,How do I export my data to a CSV? I cannot find the button. This is urgent.,Product Question,Product Question,3,Normal
REQ-5332,SMB,We have documented every outage and are preparing a case against your SLA.,PR Risk,General,3,Normal
REQ-5333,SMB,Three of our team members have stopped using the platform entirely.,Churn Risk,Churn Risk,2,High
REQ-5334,SMB,This is the third billing error this quarter. I am escalating to my board. This is blocking our team.,PR Risk,PR Risk,1,CRITICAL
REQ-5335,SMB,How do I export my data to a CSV? I cannot find the button. ASAP please.,Product Question,Product Question,3,Normal
REQ-5336,Mid-Market,We have a budget approval for an annual contract. What are the next steps?,Sales,Sales,3,High
REQ-5337,SMB,"The export function silently fails -- no error message, no file. ASAP please.",Technical Bug,Technical Bug,3,Medium
REQ-5338,Mid-Market,Fastest support response I have ever received from any SaaS vendor. Our entire team is affected.,Praise,Praise,5,Normal
REQ-5339,Enterprise,The search function returns incorrect results for any query with special characters.,Technical Bug,Technical Bug,3,Medium
REQ-5340,Mid-Market,The app crashed again while I was mid-presentation. Infuriating. We need this resolved today.,Technical Bug,Technical Bug,2,High
REQ-5341,SMB,Looking at competitors because your uptime has been terrible lately.,Churn Risk,Churn Risk,2,High
REQ-5342,Enterprise,Refunding this now or I am taking this to social media. Charged twice!,PR Risk,PR Risk,1,CRITICAL
REQ-5343,SMB,New team member has not received the invitation email after 24 hours. ASAP please.,Access Issue,Access Issue,2,Medium
REQ-5344,SMB,We are ready to move from the Free plan to Enterprise. Please send a quote.,Sales,Sales,3,High
REQ-5345,Mid-Market,How do I export my data to a CSV? I cannot find the button. This is blocking our team.,Product Question,Product Question,3,Normal
REQ-5346,Enterprise,Three of our team members have stopped using the platform entirely. We need this resolved today.,Churn Risk,Churn Risk,2,High
REQ-5347,SMB,Can I schedule automated reports to be sent to my team every Monday? This is urgent.,Product Question,Product Question,3,Normal
REQ-5348,Mid-Market,Just wanted to say the support team is doing a phenomenal job. This is our third time contacting support about this.,Praise,Praise,5,Normal
REQ-5349,Enterprise,Our contract is up in 60 days and we are not sure we will renew.,Churn Risk,PR Risk,1,CRITICAL
REQ-5350,SMB,Can you walk us through the Enterprise security and compliance features? This is blocking our team.,Sales,Sales,3,High
REQ-5351,Mid-Market,This is the third billing error this quarter. I am escalating to my board.,PR Risk,PR Risk,1,CRITICAL
REQ-5352,Mid-Market,Our contract is up in 60 days and we are not sure we will renew. We need this resolved today.,Churn Risk,PR Risk,1,CRITICAL
REQ-5353,Mid-Market,We are ready to move from the Free plan to Enterprise. Please send a quote. We need this resolved today.,Sales,Sales,3,High
REQ-5354,Mid-Market,Fastest support response I have ever received from any SaaS vendor. This is blocking our team.,Praise,Praise,5,Normal
REQ-5355,Enterprise,I think I found a security vulnerability in your login portal. This is urgent.,Technical Bug,Technical Bug,3,Medium
REQ-5356,Mid-Market,I am posting a public review about this experience unless resolved today. This is blocking our team.,PR Risk,PR Risk,1,CRITICAL
REQ-5357,SMB,I am posting a public review about this experience unless resolved today.,PR Risk,PR Risk,1,CRITICAL
REQ-5358,Enterprise,I think I found a security vulnerability in your login portal. This is urgent.,Technical Bug,Technical Bug,3,Medium
REQ-5359,SMB,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped. Our entire team is affected.,Churn Risk,Churn Risk,2,High
REQ-5360,Enterprise,I think I found a security vulnerability in your login portal.,Technical Bug,Technical Bug,3,Medium
REQ-5361,Mid-Market,Is there a discount available for non-profit organizations?,Sales,Sales,3,High
REQ-5362,SMB,We are evaluating other vendors. Your pricing has become hard to justify. ASAP please.,Churn Risk,Churn Risk,2,High
REQ-5363,Mid-Market,Can I schedule automated reports to be sent to my team every Monday? This is blocking our team.,Product Question,Product Question,3,Normal
REQ-5364,Mid-Market,Executive sponsor has left the company and the new one is re-evaluating all tools. This is urgent.,Churn Risk,Churn Risk,2,High
REQ-5365,Mid-Market,Your service caused us to miss a client deadline. We are seeking damages. ASAP please.,PR Risk,PR Risk,1,CRITICAL
REQ-5366,Enterprise,Webhook events stopped firing three hours ago. Our automation is down. Our entire team is affected.,Technical Bug,Technical Bug,2,High
REQ-5367,SMB,Two-factor authentication is failing for three members of my team. This is our third time contacting support about this.,Access Issue,Technical Bug,2,High
REQ-5368,SMB,Can you walk us through the Enterprise security and compliance features?,Sales,Sales,3,High
REQ-5369,SMB,My CEO is cc'd on this email. We need an executive response today.,PR Risk,PR Risk,1,CRITICAL
REQ-5370,SMB,Looking at competitors because your uptime has been terrible lately.,Churn Risk,Churn Risk,2,High
REQ-5371,Mid-Market,Is there a discount available for non-profit organizations? This is urgent.,Sales,Sales,3,High
REQ-5372,Mid-Market,Can I schedule automated reports to be sent to my team every Monday?,Product Question,Product Question,3,Normal
REQ-5373,Enterprise,Two-factor authentication is failing for three members of my team. This is our third time contacting support about this.,Access Issue,Technical Bug,2,High
REQ-5374,Mid-Market,Webhook events stopped firing three hours ago. Our automation is down. This is urgent.,Technical Bug,Technical Bug,2,High
REQ-5375,Mid-Market,Does the platform support SAML-based SSO with Okta? This is blocking our team.,Product Question,Technical Bug,3,Medium
REQ-5376,SMB,My CEO is cc'd on this email. We need an executive response today. ASAP please.,PR Risk,PR Risk,1,CRITICAL
REQ-5377,Enterprise,I am posting a public review about this experience unless resolved today. This is blocking our team.,PR Risk,PR Risk,1,CRITICAL
REQ-5378,SMB,My CEO is cc'd on this email. We need an executive response today. This is urgent.,PR Risk,PR Risk,1,CRITICAL
REQ-5379,SMB,New team member has not received the invitation email after 24 hours. ASAP please.,Access Issue,Access Issue,2,Medium
REQ-5380,SMB,Is there a discount available for non-profit organizations?,Sales,Sales,3,High
REQ-5381,Mid-Market,The app crashed again while I was mid-presentation. Infuriating. Our entire team is affected.,Technical Bug,Technical Bug,2,High
REQ-5382,SMB,What is the maximum file size for document uploads?,Product Question,Product Question,3,Normal
REQ-5383,Mid-Market,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk,Churn Risk,2,High
REQ-5384,SMB,Data is not syncing between the mobile app and the web dashboard.,Technical Bug,PR Risk,1,CRITICAL
REQ-5385,SMB,The search function returns incorrect results for any query with special characters. This is our third time contacting support about this.,Technical Bug,Technical Bug,2,High
REQ-5386,Enterprise,Is there a discount available for non-profit organizations?,Sales,Sales,3,High
REQ-5387,SMB,We are ready to move from the Free plan to Enterprise. Please send a quote.,Sales,Sales,3,High
REQ-5388,Enterprise,SSO login is broken for our entire organization since the last update. This is urgent.,Technical Bug,Technical Bug,2,High
REQ-5389,Mid-Market,Does the platform support SAML-based SSO with Okta? This is urgent.,Product Question,Technical Bug,3,Medium
REQ-5390,SMB,Your onboarding specialist went above and beyond for our team.,Praise,Praise,5,Normal
REQ-5391,Enterprise,Executive sponsor has left the company and the new one is re-evaluating all tools. We need this resolved today.,Churn Risk,Churn Risk,2,High
REQ-5392,SMB,Just wanted to say the support team is doing a phenomenal job. We need this resolved today.,Praise,Praise,5,Normal
REQ-5393,Mid-Market,Two-factor authentication is failing for three members of my team. We need this resolved today.,Access Issue,Technical Bug,3,Medium
REQ-5394,Mid-Market,Webhook events stopped firing three hours ago. Our automation is down. This is our third time contacting support about this.,Technical Bug,Technical Bug,2,High
REQ-5395,SMB,Your onboarding specialist went above and beyond for our team.,Praise,Praise,5,Normal
REQ-5396,Mid-Market,The app crashed again while I was mid-presentation. Infuriating. ASAP please.,Technical Bug,Technical Bug,2,High
REQ-5397,Mid-Market,"The export function silently fails -- no error message, no file. This is urgent.",Technical Bug,Technical Bug,3,Medium
REQ-5398,SMB,Our legal team is reviewing our contract due to this ongoing service outage. ASAP please.,PR Risk,PR Risk,1,CRITICAL
REQ-5399,SMB,The search function returns incorrect results for any query with special characters.,Technical Bug,Technical Bug,3,Medium
REQ-5400,SMB,"The export function silently fails -- no error message, no file. This is blocking our team.",Technical Bug,Technical Bug,3,Medium
REQ-5401,SMB,We have a budget approval for an annual contract. What are the next steps?,Sales,Sales,3,High
REQ-5402,SMB,Your service caused us to miss a client deadline. We are seeking damages.,PR Risk,PR Risk,1,CRITICAL
REQ-5403,Mid-Market,Is there a discount available for non-profit organizations?,Sales,Sales,3,High
REQ-5404,SMB,Is it possible to set up custom roles and permissions for our team?,Product Question,Product Question,3,Normal
REQ-5405,Mid-Market,Fastest support response I have ever received from any SaaS vendor.,Praise,Praise,5,Normal
REQ-5406,Mid-Market,I cannot log in after your maintenance window ended. Account appears locked. This is blocking our team.,Access Issue,Access Issue,2,Medium
REQ-5407,Enterprise,Our legal team is reviewing our contract due to this ongoing service outage.,PR Risk,PR Risk,1,CRITICAL
REQ-5408,Mid-Market,Can you walk us through the Enterprise security and compliance features? Our entire team is affected.,Sales,Sales,3,High
REQ-5409,SMB,What is the maximum file size for document uploads?,Product Question,Product Question,3,Normal
REQ-5410,Mid-Market,I will be filing a formal complaint with the regulator if this is not addressed. This is our third time contacting support about this.,PR Risk,PR Risk,1,CRITICAL
REQ-5411,SMB,Your service caused us to miss a client deadline. We are seeking damages. ASAP please.,PR Risk,PR Risk,1,CRITICAL
REQ-5412,Mid-Market,The new dashboard update is exactly what we asked for. Thank you.,Praise,Praise,5,Normal
REQ-5413,Mid-Market,We want to add 50 more seats to our current plan. Who should I talk to?,Sales,Sales,3,High
REQ-5414,Mid-Market,Does the platform support SAML-based SSO with Okta?,Product Question,Technical Bug,3,Medium
REQ-5415,Enterprise,We have documented every outage and are preparing a case against your SLA. This is urgent.,PR Risk,General,3,Normal
REQ-5416,SMB,Two-factor authentication is failing for three members of my team. We need this resolved today.,Access Issue,Technical Bug,3,Medium
REQ-5417,SMB,Webhook events stopped firing three hours ago. Our automation is down. Our entire team is affected.,Technical Bug,Technical Bug,2,High
REQ-5418,SMB,Does the platform support SAML-based SSO with Okta? Our entire team is affected.,Product Question,Technical Bug,3,Medium
REQ-5419,SMB,We have documented every outage and are preparing a case against your SLA. This is our third time contacting support about this.,PR Risk,General,3,Normal
REQ-5420,Enterprise,Looking at competitors because your uptime has been terrible lately. This is our third time contacting support about this.,Churn Risk,Churn Risk,2,High
REQ-5421,SMB,Can I schedule automated reports to be sent to my team every Monday? This is urgent.,Product Question,Product Question,3,Normal
REQ-5422,SMB,I will be filing a formal complaint with the regulator if this is not addressed. This is urgent.,PR Risk,PR Risk,1,CRITICAL
REQ-5423,Mid-Market,Is there a discount available for non-profit organizations? ASAP please.,Sales,Sales,3,High
REQ-5424,Mid-Market,The new dashboard update is exactly what we asked for. Thank you.,Praise,Praise,5,Normal
REQ-5425,SMB,My CEO is cc'd on this email. We need an executive response today. Our entire team is affected.,PR Risk,PR Risk,1,CRITICAL
REQ-5426,Enterprise,How do I export my data to a CSV? I cannot find the button.,Product Question,Product Question,3,Normal
REQ-5427,SMB,Your onboarding specialist went above and beyond for our team. This is blocking our team.,Praise,Praise,5,Normal
REQ-5428,SMB,Just wanted to say the support team is doing a phenomenal job.,Praise,Praise,5,Normal
REQ-5429,Enterprise,Can I schedule automated reports to be sent to my team every Monday? We need this resolved today.,Product Question,Product Question,3,Normal
REQ-5430,SMB,We are ready to move from the Free plan to Enterprise. Please send a quote.,Sales,Sales,3,High
REQ-5431,SMB,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk,Churn Risk,2,High
REQ-5432,Enterprise,How do I export my data to a CSV? I cannot find the button.,Product Question,Product Question,3,Normal
REQ-5433,Mid-Market,Fastest support response I have ever received from any SaaS vendor.,Praise,Praise,5,Normal
REQ-5434,Mid-Market,Two-factor authentication is failing for three members of my team.,Access Issue,Technical Bug,3,Medium
REQ-5435,SMB,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk,Churn Risk,2,High
REQ-5436,SMB,Three of our team members have stopped using the platform entirely. This is our third time contacting support about this.,Churn Risk,Churn Risk,2,High
REQ-5437,Mid-Market,"The export function silently fails -- no error message, no file. ASAP please.",Technical Bug,Technical Bug,3,Medium
REQ-5438,SMB,Can you walk us through the Enterprise security and compliance features? This is urgent.,Sales,Sales,3,High
REQ-5439,Mid-Market,Our legal team is reviewing our contract due to this ongoing service outage. This is urgent.,PR Risk,PR Risk,1,CRITICAL
REQ-5440,SMB,Data is not syncing between the mobile app and the web dashboard. Our entire team is affected.,Technical Bug,PR Risk,1,CRITICAL
REQ-5441,SMB,Executive sponsor has left the company and the new one is re-evaluating all tools. ASAP please.,Churn Risk,Churn Risk,2,High
REQ-5442,Mid-Market,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped.,Churn Risk,Churn Risk,2,High
REQ-5443,SMB,This is the third billing error this quarter. I am escalating to my board. ASAP please.,PR Risk,PR Risk,1,CRITICAL
REQ-5444,Mid-Market,Fastest support response I have ever received from any SaaS vendor.,Praise,Praise,5,Normal
REQ-5445,Mid-Market,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk,Churn Risk,2,High
REQ-5446,SMB,What is the maximum file size for document uploads?,Product Question,Product Question,3,Normal
REQ-5447,Mid-Market,We are evaluating other vendors. Your pricing has become hard to justify. We need this resolved today.,Churn Risk,Churn Risk,2,High
REQ-5448,SMB,My CEO is cc'd on this email. We need an executive response today. This is our third time contacting support about this.,PR Risk,PR Risk,1,CRITICAL
REQ-5449,Mid-Market,Our contract is up in 60 days and we are not sure we will renew.,Churn Risk,PR Risk,1,CRITICAL
REQ-5450,SMB,Three of our team members have stopped using the platform entirely.,Churn Risk,Churn Risk,2,High
REQ-5451,SMB,Your onboarding specialist went above and beyond for our team.,Praise,Praise,5,Normal
REQ-5452,Mid-Market,Three of our team members have stopped using the platform entirely. We need this resolved today.,Churn Risk,Churn Risk,2,High
REQ-5453,SMB,Looking at competitors because your uptime has been terrible lately. This is blocking our team.,Churn Risk,Churn Risk,2,High
REQ-5454,Mid-Market,Refunding this now or I am taking this to social media. Charged twice!,PR Risk,PR Risk,1,CRITICAL
REQ-5455,SMB,"The export function silently fails -- no error message, no file. ASAP please.",Technical Bug,Technical Bug,3,Medium
REQ-5456,Mid-Market,Webhook events stopped firing three hours ago. Our automation is down.,Technical Bug,Technical Bug,2,High
REQ-5457,SMB,We are ready to move from the Free plan to Enterprise. Please send a quote. This is urgent.,Sales,Sales,3,High
REQ-5458,SMB,I am posting a public review about this experience unless resolved today. Our entire team is affected.,PR Risk,PR Risk,1,CRITICAL
REQ-5459,Mid-Market,Your service caused us to miss a client deadline. We are seeking damages. This is our third time contacting support about this.,PR Risk,PR Risk,1,CRITICAL
REQ-5460,Mid-Market,Just wanted to say the support team is doing a phenomenal job. Our entire team is affected.,Praise,Praise,5,Normal
REQ-5461,SMB,We have a budget approval for an annual contract. What are the next steps? This is blocking our team.,Sales,Sales,3,High
REQ-5462,SMB,Our legal team is reviewing our contract due to this ongoing service outage. This is our third time contacting support about this.,PR Risk,PR Risk,1,CRITICAL
REQ-5463,Enterprise,Fastest support response I have ever received from any SaaS vendor.,Praise,Praise,5,Normal
REQ-5464,SMB,Is there a discount available for non-profit organizations? This is urgent.,Sales,Sales,3,High
REQ-5465,SMB,We have documented every outage and are preparing a case against your SLA. We need this resolved today.,PR Risk,General,3,Normal
REQ-5466,SMB,Can you walk us through the Enterprise security and compliance features?,Sales,Sales,3,High
REQ-5467,SMB,Three of our team members have stopped using the platform entirely. This is our third time contacting support about this.,Churn Risk,Churn Risk,2,High
REQ-5468,Mid-Market,API returning 500 errors on every POST request since this morning. This is urgent.,Technical Bug,Technical Bug,3,Medium
REQ-5469,Mid-Market,My CEO is cc'd on this email. We need an executive response today.,PR Risk,PR Risk,1,CRITICAL
REQ-5470,Mid-Market,We are ready to move from the Free plan to Enterprise. Please send a quote. This is our third time contacting support about this.,Sales,Sales,3,High
REQ-5471,SMB,The app crashed again while I was mid-presentation. Infuriating. We need this resolved today.,Technical Bug,Technical Bug,2,High
REQ-5472,SMB,Looking at competitors because your uptime has been terrible lately. We need this resolved today.,Churn Risk,Churn Risk,2,High
REQ-5473,SMB,The app crashed again while I was mid-presentation. Infuriating. This is urgent.,Technical Bug,Technical Bug,2,High
REQ-5474,Mid-Market,What is the maximum file size for document uploads?,Product Question,Product Question,3,Normal
REQ-5475,Mid-Market,The new dashboard update is exactly what we asked for. Thank you.,Praise,Praise,5,Normal
REQ-5476,SMB,Just wanted to say the support team is doing a phenomenal job.,Praise,Praise,5,Normal
REQ-5477,SMB,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped. ASAP please.,Churn Risk,Churn Risk,2,High
REQ-5478,Mid-Market,Can I schedule automated reports to be sent to my team every Monday?,Product Question,Product Question,3,Normal
REQ-5479,SMB,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk,Churn Risk,2,High
REQ-5480,SMB,The password reset link expired before I could use it. Please resend. This is urgent.,Access Issue,Access Issue,2,Medium
REQ-5481,SMB,Is it possible to set up custom roles and permissions for our team?,Product Question,Product Question,3,Normal
REQ-5482,Mid-Market,Our contract is up in 60 days and we are not sure we will renew. This is urgent.,Churn Risk,PR Risk,1,CRITICAL
REQ-5483,Mid-Market,I will be filing a formal complaint with the regulator if this is not addressed.,PR Risk,PR Risk,1,CRITICAL
REQ-5484,Mid-Market,We want to add 50 more seats to our current plan. Who should I talk to?,Sales,Sales,3,High
REQ-5485,Enterprise,I am posting a public review about this experience unless resolved today.,PR Risk,PR Risk,1,CRITICAL
REQ-5486,SMB,Just wanted to say the support team is doing a phenomenal job. We need this resolved today.,Praise,Praise,5,Normal
REQ-5487,SMB,Can I schedule automated reports to be sent to my team every Monday?,Product Question,Product Question,3,Normal
REQ-5488,SMB,This is the third billing error this quarter. I am escalating to my board.,PR Risk,PR Risk,1,CRITICAL
REQ-5489,Mid-Market,Executive sponsor has left the company and the new one is re-evaluating all tools. This is urgent.,Churn Risk,Churn Risk,2,High
REQ-5490,SMB,"The export function silently fails -- no error message, no file.",Technical Bug,Technical Bug,3,Medium
REQ-5491,Mid-Market,Is it possible to set up custom roles and permissions for our team?,Product Question,Product Question,3,Normal
REQ-5492,SMB,Fastest support response I have ever received from any SaaS vendor. ASAP please.,Praise,Praise,5,Normal
REQ-5493,SMB,Our contract is up in 60 days and we are not sure we will renew. Our entire team is affected.,Churn Risk,PR Risk,1,CRITICAL
REQ-5494,SMB,Executive sponsor has left the company and the new one is re-evaluating all tools.,Churn Risk,Churn Risk,2,High
REQ-5495,SMB,Executive sponsor has left the company and the new one is re-evaluating all tools. This is urgent.,Churn Risk,Churn Risk,2,High
